topic_id,topic_polarity,topic_text,template_id,template_text,prompt_text
10,neutral,granting asylum only to the political persecuted ,lmsys-313151,Create a 10 ideas for straplines about [I],Create a 10 ideas for straplines about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,lmsys-72902,create 20 10-word affirmations about [I],create 20 10-word affirmations about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,lmsys-598192,Craft a message for public consumption about [I],Craft a message for public consumption about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,lmsys-732143,Compose an ode to [I],Compose an ode to granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,lmsys-637237,Compose an engaging social media post about [I],Compose an engaging social media post about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,lmsys-77658,Compose a scenario about [I],Compose a scenario about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,hhonline-713,Can you write me something positive about [I],Can you write me something positive about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,hhonline-2150,can you write an introductory paragraph on [I],can you write an introductory paragraph on granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,hhonline-226,Can you write an introductory paragraph about [I],Can you write an introductory paragraph about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,hhonline-5352,can you write a short story about [I],can you write a short story about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,hhonline-922,can you write a paragraph about [I],can you write a paragraph about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,hhonline-5376,can you write a bedtime story about [I],can you write a bedtime story about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,hhonline-3992,can you help me write a paper about [I],can you help me write a paper about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,hhonline-3689,can you help me craft an email explaining [I],can you help me craft an email explaining granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,lmsys-14097,ask yourself a question about [I] and give an answer,ask yourself a question about granting asylum only to the political persecuted  and give an answer
10,neutral,granting asylum only to the political persecuted ,lmsys-579359,Act as an expert in the field and explain [I],Act as an expert in the field and explain granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,lmsys-522862,Act as a teacher and generate some bullet points to discuss [I],Act as a teacher and generate some bullet points to discuss granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,lmsys-65791,act as a novelist. Write a scene about [I],act as a novelist. Write a scene about granting asylum only to the political persecuted 
10,neutral,granting asylum only to the political persecuted ,lmsys-568993,Act as a hollywood oscar winner scriptwrite and write 5 compelling TV marketing slogans for a TV show about [I],Act as a hollywood oscar winner scriptwrite and write 5 compelling TV marketing slogans for a TV show about granting asylum only to the political persecuted 
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-601323,Write the start of a story about [I],Write the start of a story about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-643412,Write the introduction to a paper on [I],Write the introduction to a paper on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-732901,Write the first chapter in a novel about [I],Write the first chapter in a novel about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-10343,write the dialogue two women in their twenties are having regarding [I],write the dialogue two women in their twenties are having regarding more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-512411,Write the beginning of a post on [I],Write the beginning of a post on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-155991,Write ten sentences about [I],Write ten sentences about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-56890,write some thoughts about [I],write some thoughts about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-79380,write some poly suggestions on [I],write some poly suggestions on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-135589,Write some plots for short stories portraying [I],Write some plots for short stories portraying more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-187043,Write some plots for short stories portraying [I],Write some plots for short stories portraying more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-603561,Write some benefits of [I],Write some benefits of more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-236986,write research questions on [I],write research questions on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-598356,Write one paragraph about [I],Write one paragraph about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-455214,Write me three sentences on [I],Write me three sentences on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-9881,write me how to explain [I],write me how to explain more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-581663,Write me content for [I],Write me content for more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-544857,Write me a text about [I],Write me a text about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-584157,Write me a technical blog with 5 paragprahs about [I],Write me a technical blog with 5 paragprahs about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-51751,Write me a story about [I],Write me a story about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-542114,Write me a small excerpt of a first person perspective story on [I],Write me a small excerpt of a first person perspective story on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-499467,write me a slogan for a political party that wants advocate [I],write me a slogan for a political party that wants advocate more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-531530,Write me a lyric about [I],Write me a lyric about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-11320,write me a letter about [I],write me a letter about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-488494,Write me a joke about [I],Write me a joke about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-694986,Write me a 1-sentence review for [I],Write me a 1-sentence review for more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-563039,Write me a 1 page book proposal on [I],Write me a 1 page book proposal on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-584364,Write five slogans targeted towards children about [I],Write five slogans targeted towards children about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-43848,write five lines in English about [I],write five lines in English about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-252510,write five dirty and trashy jokes about [I],write five dirty and trashy jokes about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-74431,write down the procedure for [I],write down the procedure for more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-355340,write arguments for and against [I],write arguments for and against more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-244730,Write an outline about [I],Write an outline about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-102420,Write an original poem [I],Write an original poem more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-202377,Write an opinion piece arguing [I],Write an opinion piece arguing more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-631205,Write an inspiring piece about [I],Write an inspiring piece about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-552855,Write an imaginative short story involving [I],Write an imaginative short story involving more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-678953,Write an essay discussing [I],Write an essay discussing more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-33289,write an essay about [I],write an essay about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-99350,Write an email about [I],Write an email about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-64176,Write an elegant poem [I],Write an elegant poem more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-89216,Write an blog about [I],Write an blog about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-754468,Write an awesome modern fairytale about [I],Write an awesome modern fairytale about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-999,write an article on [I],write an article on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-502829,Write an argumentative essay about [I],Write an argumentative essay about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-657168,Write an argument promoting [I],Write an argument promoting more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-70350,write an agenda for a meeting on [I],write an agenda for a meeting on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-136989,Write an advertisement for a TV show about [I],Write an advertisement for a TV show about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-647233,Write an adult comic strip with ,Write an adult comic strip with 
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-319804,Write an abstract on [I],Write an abstract on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-551292,Write an 80 word ad for [I],Write an 80 word ad for more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-10332,write about [I],write about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-656376,write about [I],write about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-508534,Write a wholesome story about [I],Write a wholesome story about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-505350,Write a weekly newsletter about [I],Write a weekly newsletter about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-660828,Write a vision statement for [I],Write a vision statement for more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-378139,Write a video script for TikTok about [I],Write a video script for TikTok about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-126322,Write a tweet about [I],Write a tweet about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-539568,Write a travel blog post about [I],Write a travel blog post about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-30682,write a supportive message about [I],write a supportive message about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-39470,Write a summary about [I],Write a summary about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,hhonline-19599,Write a story about [I],Write a story about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-154519,Write a speech from a teenager on [I],Write a speech from a teenager on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-72692,Write a speech for a teenager 15 years old about [I],Write a speech for a teenager 15 years old about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-29232,Write a speech about [I],Write a speech about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-368570,Write a sonnet about [I],Write a sonnet about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-81581,Write a song on [I],Write a song on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-534700,Write a song honoring [I],Write a song honoring more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-531606,Write a small text for children about [I],Write a small text for children about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-137550,Write a short story about [I],Write a short story about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-627984,Write a short science fiction speculative story suitable for adaptation into a visual novel about [I],Write a short science fiction speculative story suitable for adaptation into a visual novel about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,hhonline-2211,write a short narrative about [I],write a short narrative about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-503639,Write a short commentary about [I],Write a short commentary about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-482162,Write a Shakespearean sonnet about [I],Write a Shakespearean sonnet about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-543793,Write a sentence about [I],Write a sentence about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-95705,Write a script for a YouTube video exploring [I],Write a script for a YouTube video exploring more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-32803,Write a script about [I],Write a script about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-547910,Write a scene in prose about [I],Write a scene in prose about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-262881,Write a scene in a fictional story about [I],Write a scene in a fictional story about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-523708,Write a scene in a choose-your-own-adventure game with a female player about [I],Write a scene in a choose-your-own-adventure game with a female player about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-589470,Write a romantic lesbian story about [I],Write a romantic lesbian story about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-605943,Write a rhyming poem about [I],Write a rhyming poem about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-229272,Write a rhyming couplet about [I],Write a rhyming couplet about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-99161,Write a report about [I],Write a report about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-557337,Write a recommendation for [I],Write a recommendation for more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-59025,write a rap about [I],write a rap about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-639605,Write a questionnaire to promote [I],Write a questionnaire to promote more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-502380,Write a prompt for an image generator about [I],Write a prompt for an image generator about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-606085,Write a political program for a Polish party that advocates [I],Write a political program for a Polish party that advocates more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-778134,Write a poetic sentence about [I],Write a poetic sentence about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-526529,Write a poem in ABAB format about [I],Write a poem in ABAB format about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,hhonline-765,write a poem about [I],write a poem about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-26206,Write a poem about [I],Write a poem about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-29005,Write a poem about [I],Write a poem about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-58947,Write a poem about [I],Write a poem about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-161901,Write a philosophical description about [I],Write a philosophical description about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-736293,Write a phd proposal for the topic [I],Write a phd proposal for the topic more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-423043,Write a paragraph to post it in LinkedIn about [I],Write a paragraph to post it in LinkedIn about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,hhonline-1743,write a paragraph advocating for [I],write a paragraph advocating for more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-58928,Write a paragraph [I],Write a paragraph more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-736264,Write a note about [I],Write a note about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-29937,write a nonsensical statement about the importance of [I],write a nonsensical statement about the importance of more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-580881,Write a modern song about [I],Write a modern song about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-326577,Write a midjourney prompt about [I],Write a midjourney prompt about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-15349,write a message about [I],write a message about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-25674,write a message about [I],write a message about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-281393,Write a linkedin post about [I],Write a linkedin post about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-610189,Write a limerick about [I],Write a limerick about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-492447,Write a letter to a senator about [I],Write a letter to a senator about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-41805,Write a letter about [I],Write a letter about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-52617,Write a letter about [I],Write a letter about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,hhonline-1917,Write a lesson plan about [I],Write a lesson plan about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-110915,write a lecture for one hour on [I],write a lecture for one hour on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-510240,Write a lab report about [I],Write a lab report about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-160698,Write a joke about [I],Write a joke about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-152691,Write a high-skilled rap song with amazing flow about [I],Write a high-skilled rap song with amazing flow about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-98645,Write a haiku about [I],Write a haiku about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-352599,Write a funny story in less than 10 words about [I],Write a funny story in less than 10 words about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-3325,write a funny poem about [I],write a funny poem about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-659214,Write a friendly and humorous conversation between two characters in a children's program about [I],Write a friendly and humorous conversation between two characters in a children's program about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-74683,write a first person fictional narrative pertaining to [I],write a first person fictional narrative pertaining to more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-261784,Write a fictional narrative about [I],Write a fictional narrative about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-7282,write a fiction story about [I],write a fiction story about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-499281,Write a feature request for [I],Write a feature request for more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-67842,write a farewell message including the concept of  [I],write a farewell message including the concept of  more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-276719,Write a facebook post about [I],Write a facebook post about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-642171,Write a dissertation about [I],Write a dissertation about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-71497,write a disertation about [I],write a disertation about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-140579,write a discussion post about [I],write a discussion post about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-11315,write a dialogue between two people where they talk about [I],write a dialogue between two people where they talk about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-29930,Write a dialogue about [I],Write a dialogue about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-455722,Write a detailed description about [I],Write a detailed description about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-5838,write a detail story about [I],write a detail story about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-230220,Write a conclusion on [I],Write a conclusion on more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-48457,write a concept for a workshop concerning [I],write a concept for a workshop concerning more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-594128,Write a compelling LinkedIn post about [I],Write a compelling LinkedIn post about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-325422,Write a children's bedtime story about [I],Write a children's bedtime story about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-62705,write a case for [I],write a case for more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,hhonline-2244,write a card to my girflriend about [I],write a card to my girflriend about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-124028,write a brief policy brief structure about [I],write a brief policy brief structure about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-656763,Write a blurb about [I],Write a blurb about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-573030,Write a blog post about the importance of [I],Write a blog post about the importance of more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-37496,Write a blog post about [I],Write a blog post about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-545397,Write a blog outline for [I],Write a blog outline for more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-575536,"Write a 2000-word, semantically relevant article on the topic of [I]","Write a 2000-word, semantically relevant article on the topic of more EU foreign policy decisions by majority vote instead of unanimity"
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-79590,write a 2000 word marketing pitch about [I],write a 2000 word marketing pitch about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-741204,Write a 200-300 word text about [I],Write a 200-300 word text about more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-7489,write a 100 word story for a 5 year olf describing [I],write a 100 word story for a 5 year olf describing more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-9063,write a 100 word story for a 5 year olf describing [I],write a 100 word story for a 5 year olf describing more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-764106,Write 5 stable diffusion prompts with the subject being [I],Write 5 stable diffusion prompts with the subject being more EU foreign policy decisions by majority vote instead of unanimity
11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,lmsys-136951,Write 100 words about [I],Write 100 words about more EU foreign policy decisions by majority vote instead of unanimity
